id,artist,song,topic
jason mraz & colbie caillat+lucky,jason mraz & colbie caillat,lucky,1
lady gaga+poker face,lady gaga,poker face,2
judas priest+dissident aggressor,judas priest,dissident aggressor,1
maxwell+pretty wings,maxwell,pretty wings,0
taylor swift+white horse,taylor swift,white horse,3
keith urban+sweet thing,keith urban,sweet thing,0
coldplay+viva la vida,coldplay,viva la vida,0
adele+chasing pavements,adele,chasing pavements,1
john mayer+say,john mayer,say,1
daft punk+harder better faster stronger,daft punk,harder better faster stronger,0
the mars volta+wax simulacra,the mars volta,wax simulacra,1
metallica+my apocalypse,metallica,my apocalypse,0
bruce springsteen+girls in their summer clothes,bruce springsteen,girls in their summer clothes,2
ne-yo+miss independent,ne-yo,miss independent,1
lil wayne+a milli,lil wayne,a milli,2
